config,base_k,boosted_k,scale,provisional_fights,model,fold,n,log_loss,brier_score,accuracy,roc_auc
boost_k_maior_96,32.0,96.0,400.0,3,win_rate,2017-01-01→2020-01-01,1421,1.1300523625752907,0.26421554268140807,0.5496129486277269,0.5434029659061265
boost_k_maior_96,32.0,96.0,400.0,3,elo,2017-01-01→2020-01-01,1421,0.6920275598124317,0.24922981790837945,0.5383532723434201,0.5435976160375655
boost_k_maior_96,32.0,96.0,400.0,3,win_rate,2020-01-01→2023-01-01,1447,1.2016754453058385,0.26447803562577415,0.5888044229440221,0.5624161936593952
boost_k_maior_96,32.0,96.0,400.0,3,elo,2020-01-01→2023-01-01,1447,0.6806488780464356,0.2437916338154401,0.5666897028334485,0.5631608092874236
boost_k_maior_96,32.0,96.0,400.0,3,win_rate,2023-01-01→2026-01-01,1532,1.1522795115001245,0.26001945524702086,0.5900783289817232,0.5933852106487196
boost_k_maior_96,32.0,96.0,400.0,3,elo,2023-01-01→2026-01-01,1532,0.6790545820295606,0.24321511526873432,0.5620104438642297,0.5758166188122317
boost_k_maior_96,32.0,96.0,400.0,3,win_rate,2026-01-01→2029-01-01,387,1.150380571083884,0.25719553802787176,0.6046511627906976,0.6153098157852088
boost_k_maior_96,32.0,96.0,400.0,3,elo,2026-01-01→2029-01-01,387,0.6858400618623501,0.24606394820030372,0.5503875968992248,0.5625033763708065
boost_k_maior_96,32.0,96.0,400.0,3,win_rate,pooled test,7232,1.1962486200919973,0.2645095654909779,0.5777101769911505,0.5628423515462062
boost_k_maior_96,32.0,96.0,400.0,3,elo,pooled test,7232,0.6836079732923245,0.24523869373059806,0.5607024336283186,0.5594413919090756
scale_200,32.0,64.0,200.0,3,win_rate,test (simple split),3872,1.1800998618884126,0.26257890433284453,0.5872933884297521,0.5760639020833385
scale_200,32.0,64.0,200.0,3,elo,test (simple split),3872,0.6845712642431515,0.2455639335579977,0.5581095041322314,0.5650956442109982
scale_200,32.0,64.0,200.0,3,win_rate,2011-01-01→2014-01-01,1004,1.1978649452633587,0.2650746555244955,0.5707171314741036,0.5495831586984757
