fight_id,event_id,event_name,bout,weight_class,method,ending_round,ending_time,time_format,referee,details,fight_duration_seconds,fighter_id,fighter_name,opponent_id,opponent_name,result,opponent_result,significant_strikes_landed,significant_strikes_attempted,total_strikes_landed,total_strikes_attempted,takedowns_landed,takedowns_attempted,head_strikes_landed,head_strikes_attempted,body_strikes_landed,body_strikes_attempted,leg_strikes_landed,leg_strikes_attempted,distance_strikes_landed,distance_strikes_attempted,clinch_strikes_landed,clinch_strikes_attempted,ground_strikes_landed,ground_strikes_attempted,knockdowns,submission_attempts,reversals,control_time_seconds,rounds_with_stats,significant_strikes_pct,takedown_pct
005723fb99440272,e0b74df14f52cd15,UFC 162: Silva vs Weidman,Edson Barboza vs. Rafaello Oliveira,Lightweight Bout,KO/TKO ,2,1:44,3 Rnd (5-5-5),Herb Dean,Kicks to Leg At Distance ,104,15b1b21cd743d652,Rafaello Oliveira,64a50dad704d1d49,Edson Barboza,L,W,19.0,42.0,19.0,42.0,0.0,5.0,13.0,33.0,6.0,9.0,0.0,0.0,19.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,45.23809523809524,0.0
005723fb99440272,e0b74df14f52cd15,UFC 162: Silva vs Weidman,Edson Barboza vs. Rafaello Oliveira,Lightweight Bout,KO/TKO ,2,1:44,3 Rnd (5-5-5),Herb Dean,Kicks to Leg At Distance ,104,64a50dad704d1d49,Edson Barboza,15b1b21cd743d652,Rafaello Oliveira,W,L,49.0,89.0,49.0,89.0,0.0,0.0,9.0,40.0,17.0,21.0,23.0,28.0,49.0,89.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,2.0,55.0561797752809,
0064bbc554d85421,2299605af59fd309,The Ultimate Fighter: Team Rampage vs Team Forrest Finale,Amir Sadollah vs. CB Dollaway,Ultimate Fighter 7 Middleweight Tournament Title Bout,Submission ,1,3:02,3 Rnd (5-5-5),Herb Dean,Armbar From Whizzer ,182,2650e2f846a30f64,Amir Sadollah,5d7bdab5e03e3216,CB Dollaway,W,L,2.0,5.0,5.0,8.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,40.0,
0064bbc554d85421,2299605af59fd309,The Ultimate Fighter: Team Rampage vs Team Forrest Finale,Amir Sadollah vs. CB Dollaway,Ultimate Fighter 7 Middleweight Tournament Title Bout,Submission ,1,3:02,3 Rnd (5-5-5),Herb Dean,Armbar From Whizzer ,182,5d7bdab5e03e3216,CB Dollaway,2650e2f846a30f64,Amir Sadollah,L,W,6.0,16.0,11.0,22.0,1.0,1.0,4.0,13.0,0.0,1.0,2.0,2.0,2.0,4.0,0.0,0.0,4.0,12.0,0.0,0.0,0.0,131.0,1.0,37.5,100.0
0067048aaa2aa2da,770b9d4813c25902,UFC Fight Night: Bisping vs Le,Zhang Lipeng vs. Brendan O'Reilly,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),John Sharp,28 - 29.27 - 30.27 - 30.,300,494b0bfdbac74502,Brendan O'Reilly,7b310409440c9102,Zhang Lipeng,L,W,15.0,50.0,74.0,121.0,0.0,3.0,7.0,35.0,4.0,8.0,4.0,7.0,12.0,41.0,3.0,4.0,0.0,5.0,0.0,0.0,1.0,196.0,3.0,30.0,0.0
0067048aaa2aa2da,770b9d4813c25902,UFC Fight Night: Bisping vs Le,Zhang Lipeng vs. Brendan O'Reilly,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),John Sharp,28 - 29.27 - 30.27 - 30.,300,7b310409440c9102,Zhang Lipeng,494b0bfdbac74502,Brendan O'Reilly,W,L,19.0,40.0,130.0,179.0,2.0,4.0,7.0,25.0,6.0,9.0,6.0,6.0,9.0,27.0,6.0,7.0,4.0,6.0,0.0,1.0,0.0,483.0,3.0,47.5,50.0
00684df5ed23e6ca,b1605ea39fba6af6,UFC Fight Night: Edgar vs Faber,Li Jingliang vs. Dhiego Lima,Welterweight Bout,KO/TKO ,1,1:25,3 Rnd (5-5-5),Terry Hill,Punches to Head At Distance ,85,e64b96c07d7ce999,Li Jingliang,e9213f53ddeca978,Dhiego Lima,W,L,13.0,39.0,13.0,39.0,0.0,0.0,13.0,38.0,0.0,0.0,0.0,1.0,4.0,24.0,0.0,0.0,9.0,15.0,1.0,0.0,0.0,12.0,1.0,33.33333333333333,
00684df5ed23e6ca,b1605ea39fba6af6,UFC Fight Night: Edgar vs Faber,Li Jingliang vs. Dhiego Lima,Welterweight Bout,KO/TKO ,1,1:25,3 Rnd (5-5-5),Terry Hill,Punches to Head At Distance ,85,e9213f53ddeca978,Dhiego Lima,e64b96c07d7ce999,Li Jingliang,L,W,6.0,16.0,6.0,16.0,0.0,0.0,5.0,14.0,1.0,2.0,0.0,0.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.5,
0071c5d16e6e07f6,4d74641fac830182,UFC on FX: Guillard vs Miller,Jorge Rivera vs. Eric Schafer,Middleweight Bout,KO/TKO ,2,1:31,3 Rnd (5-5-5),Herb Dean,Punches to Head On Ground ,91,cb46dface0e28a2c,Jorge Rivera,f59f1d3a2ff13edd,Eric Schafer,W,L,6.0,17.0,34.0,48.0,0.0,0.0,6.0,17.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,6.0,9.0,0.0,0.0,1.0,58.0,2.0,35.294117647058826,
0071c5d16e6e07f6,4d74641fac830182,UFC on FX: Guillard vs Miller,Jorge Rivera vs. Eric Schafer,Middleweight Bout,KO/TKO ,2,1:31,3 Rnd (5-5-5),Herb Dean,Punches to Head On Ground ,91,f59f1d3a2ff13edd,Eric Schafer,cb46dface0e28a2c,Jorge Rivera,L,W,6.0,9.0,47.0,57.0,2.0,5.0,3.0,6.0,1.0,1.0,2.0,2.0,1.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,276.0,2.0,66.66666666666666,40.0
00720c46f864fe03,46effbd1135423c5,UFC Fight Night: Rodriguez vs. Penn,Joe Lauzon vs. Marcin Held,Lightweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Herb Dean,Derek Cleary 30 - 27.Jeff Mullen 28 - 29.Marcos Rosales 28 - 29.,300,3bad7ef643840f67,Joe Lauzon,bf43fed8f29e1671,Marcin Held,W,L,20.0,62.0,44.0,86.0,1.0,2.0,17.0,58.0,3.0,4.0,0.0,0.0,8.0,46.0,12.0,15.0,0.0,1.0,0.0,1.0,0.0,97.0,3.0,32.25806451612903,50.0
