model,fold,feature,coefficient,abs_coefficient
M1_Elo_Striking,2020-2023,total_str_landed_per_fight_difference__missing,0.005885430373468205,0.005885430373468205
M1_Elo_Striking,2020-2023,total_str_attempted_per_fight_difference__missing,0.005885430373468205,0.005885430373468205
M2_Elo_Grappling,2020-2023,elo_difference,0.3034487537598449,0.3034487537598449
M2_Elo_Grappling,2020-2023,takedowns_per_fight_difference,0.12158917935343357,0.12158917935343357
M2_Elo_Grappling,2020-2023,td_attempted_per_fight_difference,0.034241765343180644,0.034241765343180644
M2_Elo_Grappling,2020-2023,td_pct_difference,-0.003806640039897152,0.003806640039897152
M2_Elo_Grappling,2020-2023,submission_attempts_per_fight_difference,-0.013136054664207844,0.013136054664207844
M2_Elo_Grappling,2020-2023,reversals_per_fight_difference,-0.045640781802708495,0.045640781802708495
M2_Elo_Grappling,2020-2023,takedowns_per_fight_difference__missing,0.0030930171539079263,0.0030930171539079263
M2_Elo_Grappling,2020-2023,td_attempted_per_fight_difference__missing,0.0030930171539079263,0.0030930171539079263
M2_Elo_Grappling,2020-2023,td_pct_difference__missing,0.014662248729113292,0.014662248729113292
M2_Elo_Grappling,2020-2023,submission_attempts_per_fight_difference__missing,0.0030930171539073213,0.0030930171539073213
M2_Elo_Grappling,2020-2023,reversals_per_fight_difference__missing,0.0030930171539073213,0.0030930171539073213
M3_Elo_Dominance,2020-2023,elo_difference,0.3075703807274611,0.3075703807274611
M3_Elo_Dominance,2020-2023,knockdowns_per_fight_difference,0.034649571611463766,0.034649571611463766
M3_Elo_Dominance,2020-2023,control_time_per_fight_difference,0.08312648844074245,0.08312648844074245
M3_Elo_Dominance,2020-2023,knockdowns_per_fight_difference__missing,-0.20305836028264931,0.20305836028264931
M3_Elo_Dominance,2020-2023,control_time_per_fight_difference__missing,0.23760796928206426,0.23760796928206426
M4_Elo_All_Performance,2020-2023,elo_difference,0.2872852120292643,0.2872852120292643
M4_Elo_All_Performance,2020-2023,sig_str_landed_per_fight_difference,0.08597848147661878,0.08597848147661878
M4_Elo_All_Performance,2020-2023,sig_str_attempted_per_fight_difference,0.4107678450950934,0.4107678450950934
M4_Elo_All_Performance,2020-2023,sig_str_pct_difference,0.04133741874180878,0.04133741874180878
M4_Elo_All_Performance,2020-2023,total_str_landed_per_fight_difference,0.16146521348625137,0.16146521348625137
M4_Elo_All_Performance,2020-2023,total_str_attempted_per_fight_difference,-0.5729874891444727,0.5729874891444727
M4_Elo_All_Performance,2020-2023,takedowns_per_fight_difference,0.1688519430462423,0.1688519430462423
M4_Elo_All_Performance,2020-2023,td_attempted_per_fight_difference,0.04607391638095211,0.04607391638095211
M4_Elo_All_Performance,2020-2023,td_pct_difference,-0.018304006608894502,0.018304006608894502
M4_Elo_All_Performance,2020-2023,submission_attempts_per_fight_difference,0.01371547093710796,0.01371547093710796
M4_Elo_All_Performance,2020-2023,reversals_per_fight_difference,-0.030798708502892073,0.030798708502892073
M4_Elo_All_Performance,2020-2023,knockdowns_per_fight_difference,0.033261005352053626,0.033261005352053626
M4_Elo_All_Performance,2020-2023,control_time_per_fight_difference,0.0022760635417512433,0.0022760635417512433
M4_Elo_All_Performance,2020-2023,sig_str_landed_per_fight_difference__missing,-0.016815015538610197,0.016815015538610197
M4_Elo_All_Performance,2020-2023,sig_str_attempted_per_fight_difference__missing,-0.016815015538610197,0.016815015538610197
M4_Elo_All_Performance,2020-2023,sig_str_pct_difference__missing,-0.06397801371810785,0.06397801371810785
M4_Elo_All_Performance,2020-2023,total_str_landed_per_fight_difference__missing,-0.016815015538610197,0.016815015538610197
M4_Elo_All_Performance,2020-2023,total_str_attempted_per_fight_difference__missing,-0.016815015538610197,0.016815015538610197
M4_Elo_All_Performance,2020-2023,takedowns_per_fight_difference__missing,-0.016815015538610197,0.016815015538610197
